12,19
0,0,15,20


0,6,7,6
9,6,15,6

0,13,8,13
11,13,15,13

0,10,6,10
8,10,15,10

1,7,4.5,7
4.5,7,4.5,9
4.5,9,1,9
1,9,1,7

10,6.5,13.5,6.5
13.5,6.5,13.5,9
13.5,9,10,9
10,9,10,6.5

1,11,4.5,11
4.5,11,4.5,12.5
4.5,12.5,1,12.5
1,12.5,1,11

10,11,13.5,11
13.5,11,13.5,12.5
13.5,12.5,10,12.5
10,12.5,10,11

2,1.5,4,1.5
4,1.5,5,3
5,3,3.5,4.5
3.5,4.5,1.5,3
1.5,3,2,1.5

10,2,12.5,2
12.5,2,12.5,3.5
12.5,3.5,15,3.5
15,3.5,15,5.5

7,14,11,14
11,14,13,16
13,16,12,18.5
12,18.5,8.5,18.5
8.5,18.5,7,16
7,16,7,14
inf
-0.5,5.5,15.5,5.5,15.5,13.5,-0.5,13.5
